folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,Banana_freq,Banana_dur,Test_Banana_freq,Test_Banana_dur,Chocolate_freq,Chocolate_dur,Test_Chocolate_freq,Test_Chocolate_dur,counterbalancing,Pavlovian_cbx,sex,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,Chocolate_Levercbx,Banana_Levercbx,Stage,Schedule,Day,Test_Period
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,5,240,300,0,0,4,5.05999999999995,19,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,NonReinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,6,300,360,0,0,0,0,9,5.24000000000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,NonReinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,7,360,420,1,0.220000000000027,2,4.12,9,8.44000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,NonReinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,8,420,480,1,1.95999999999998,0,0,8,8.13999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,NonReinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,9,480,540,1,0.0799999999999841,2,1.19999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,NonReinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,10,540,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,NonReinforced
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,11,600,660,0,0,0,0,5,5.86000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,ITI
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,12,660,720,0,0,0,0,25,47.4000000000001,0,0,0,0,0,0,0,0,0,0,1,60,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,Reinstatament
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,13,720,780,0,0,0,0,5,11.1599999999999,0,0,0,0,0,0,0,0,0,0,0,60,0,0,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,Reinstatament
LPL_Reinstatement_Test_Day15,LPLReinstatementTestDay15A,LPLReinstatementTestDay15A_Rat19.csv,19____,61,2,1,C,Marios,268,14,780,840,4,0.279999999999859,2,2.34000000000003,13,12.0399999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,60,A,Y,F,Left,Right,Banana,Chocolate,Right,Left,Reinstatement,Test,Day15,Reinstatament_Test
