folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,sex,Instrumental_cbx,Pavlovian_cbx,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,DevaluedOutcome1,Stage,Schedule,Day
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat21.csv,21____,16,4,1,C,Marios,90,3,900,1350,0,0,1,0.0600000000001728,0,0,0,0,0,0,1,5,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat21.csv,21____,16,4,1,C,Marios,90,4,1350,1800,0,0,0,0,0,0,0,0,0,0,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat23.csv,23____,16,1,1,C,Marios,91,1,0,450,13,7.19999999999993,4,24.4599999999999,0,0,0,0,5,25,2,10,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat23.csv,23____,16,1,1,C,Marios,91,2,450,900,15,6.27999999999986,10,69.16,0,0,0,0,3,15,5,25,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat23.csv,23____,16,1,1,C,Marios,91,3,900,1350,26,32.26,10,9.32000000000016,0,0,0,0,9,45,3,15,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat23.csv,23____,16,1,1,C,Marios,91,4,1350,1800,5,3.11999999999989,12,12,0,0,0,0,1,5,3,15,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat42.csv,42____,16,5,1,C,Marios,90,1,0,450,7,8.62000000000005,0,0,0,0,0,0,4,20,0,0,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat42.csv,42____,16,5,1,C,Marios,90,2,450,900,3,5.62000000000006,5,4.67999999999995,0,0,0,0,0,0,2,10,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat42.csv,42____,16,5,1,C,Marios,90,3,900,1350,3,16.28,0,0,0,0,0,0,3,15,0,0,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat42.csv,42____,16,5,1,C,Marios,90,4,1350,1800,0,0,0,0,0,0,0,0,0,0,0,0,A,M,A,Y,Left,Left,Banana,Chocolate,Banana,Acquisition,RR2,Day2
