folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,Pavlovian_cbx,DevaluedOutcome1,sex,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,Stage,Schedule,Day,DevaluedOutcome,Test_Period
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,2,60,120,1,0.0799999999999983,1,1.45999999999999,1,0.039999999999992,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,3,120,180,0,0,2,2.18000000000001,2,0.880000000000024,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,4,180,240,4,7.68000000000001,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,5,240,300,0,0,0,0,1,0.039999999999992,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,6,300,360,0,0,0,0,2,3.80000000000001,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,7,360,420,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,8,420,480,3,0.539999999999964,0,0,3,0.480000000000018,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,9,480,540,1,0.0600000000000023,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,10,540,600,0,0,2,2.61999999999989,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,11,600,660,0,0,0,0,1,0.100000000000023,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,ITI
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat23.csv,23____,54,1,1,C,Marios,237,12,660,720,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Chocolate,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Chocolate,ITI
