Voltage,drug,nA
1.034268537,SAL,0.7607281
1.034268537,LY,0.651908196
1.037675351,SAL,0.746124469
1.037675351,LY,0.642797765
1.041082164,SAL,0.733296992
1.041082164,LY,0.635591306
1.044488978,SAL,0.722199186
1.044488978,LY,0.629954532
1.047895792,SAL,0.71255205
1.047895792,LY,0.625372435
1.051302605,SAL,0.703986902
1.051302605,LY,0.621199766
1.054709419,SAL,0.696024861
1.054709419,LY,0.616744159
1.058116232,SAL,0.688243427
1.058116232,LY,0.611295713
1.061523046,SAL,0.680457081
1.061523046,LY,0.604234832
1.06492986,SAL,0.672556735
1.06492986,LY,0.595242069
1.068336673,SAL,0.664477664
1.068336673,LY,0.584291005
1.071743487,SAL,0.656263483
1.071743487,LY,0.571477437
1.075150301,SAL,0.647852672
1.075150301,LY,0.557050008
