RewardMagnitude,Time,UniqueID,DA,Subj,Date,channel,drug
2,3.5999999999999996,R34_20130301_1_SAL,0.155340035,R34,20130301,1,SAL
2,3.5999999999999996,R52_20130911_1_SAL,-0.352173367,R52,20130911,1,SAL
2,3.5999999999999996,R54_20140619_1_SAL,-0.174715606,R54,20140619,1,SAL
2,3.5999999999999996,R55_20140617_1_SAL,0.245953372,R55,20140617,1,SAL
2,3.5999999999999996,R57_20140618_1_SAL,0.115295661,R57,20140618,1,SAL
2,3.5999999999999996,R69_20141211_1_SAL,0.158551284,R69,20141211,1,SAL
2,3.5999999999999996,R72_20141212_1_SAL,0.077784434,R72,20141212,1,SAL
2,3.5999999999999996,R29_20130301_0_LY,-0.199583004,R29,20130301,0,LY
2,3.5999999999999996,R34_20130227_0_LY,0.145231196,R34,20130227,0,LY
2,3.5999999999999996,R52_20130913_0_LY,0.016878623,R52,20130913,0,LY
2,3.5999999999999996,R54_20140617_0_LY,0.108932969,R54,20140617,0,LY
2,3.5999999999999996,R56_20140617_0_LY,-0.303510141,R56,20140617,0,LY
2,3.5999999999999996,R57_20140620_0_LY,0.415674717,R57,20140620,0,LY
2,3.5999999999999996,R58_20140618_0_LY,0.188936039,R58,20140618,0,LY
2,3.5999999999999996,R69_20141209_0_LY,0.652835268,R69,20141209,0,LY
2,3.5999999999999996,R72_20141210_0_LY,0.268616683,R72,20141210,0,LY
2,3.5999999999999996,R29_20130301_1_LY,0.197957649,R29,20130301,1,LY
2,3.5999999999999996,R32_20130227_1_LY,0.432094932,R32,20130227,1,LY
2,3.5999999999999996,R34_20130227_1_LY,0.272189336,R34,20130227,1,LY
2,3.5999999999999996,R52_20130913_1_LY,0.017927899,R52,20130913,1,LY
2,3.5999999999999996,R54_20140617_1_LY,-0.190383129,R54,20140617,1,LY
2,3.5999999999999996,R55_20140619_1_LY,0.471423506,R55,20140619,1,LY
2,3.5999999999999996,R57_20140620_1_LY,0.472634949,R57,20140620,1,LY
2,3.5999999999999996,R69_20141209_1_LY,0.350463803,R69,20141209,1,LY
2,3.5999999999999996,R72_20141210_1_LY,0.225958849,R72,20141210,1,LY
2,3.6999999999999993,R29_20130227_0_SAL,0.089196224,R29,20130227,0,SAL
2,3.6999999999999993,R34_20130301_0_SAL,-0.027073961,R34,20130301,0,SAL
2,3.6999999999999993,R52_20130911_0_SAL,0.136431433,R52,20130911,0,SAL
2,3.6999999999999993,R54_20140619_0_SAL,-0.058587558,R54,20140619,0,SAL
2,3.6999999999999993,R56_20140619_0_SAL,-0.002884729,R56,20140619,0,SAL
2,3.6999999999999993,R57_20140618_0_SAL,0.067455236,R57,20140618,0,SAL
2,3.6999999999999993,R58_20140620_0_SAL,0.047878145,R58,20140620,0,SAL
2,3.6999999999999993,R69_20141211_0_SAL,0.58151422,R69,20141211,0,SAL
2,3.6999999999999993,R72_20141212_0_SAL,0.01497079,R72,20141212,0,SAL
2,3.6999999999999993,R29_20130227_1_SAL,0.145734847,R29,20130227,1,SAL
2,3.6999999999999993,R32_20130301_1_SAL,0.119016473,R32,20130301,1,SAL
2,3.6999999999999993,R34_20130301_1_SAL,0.177897494,R34,20130301,1,SAL
2,3.6999999999999993,R52_20130911_1_SAL,-0.351110566,R52,20130911,1,SAL
2,3.6999999999999993,R54_20140619_1_SAL,-0.210099858,R54,20140619,1,SAL
2,3.6999999999999993,R55_20140617_1_SAL,0.195752794,R55,20140617,1,SAL
2,3.6999999999999993,R57_20140618_1_SAL,0.158591443,R57,20140618,1,SAL
2,3.6999999999999993,R69_20141211_1_SAL,0.176434001,R69,20141211,1,SAL
2,3.6999999999999993,R72_20141212_1_SAL,0.071901349,R72,20141212,1,SAL
2,3.6999999999999993,R29_20130301_0_LY,-0.147266782,R29,20130301,0,LY
2,3.6999999999999993,R34_20130227_0_LY,0.128907002,R34,20130227,0,LY
2,3.6999999999999993,R52_20130913_0_LY,0.02963657,R52,20130913,0,LY
2,3.6999999999999993,R54_20140617_0_LY,0.086112269,R54,20140617,0,LY
2,3.6999999999999993,R56_20140617_0_LY,-0.277703785,R56,20140617,0,LY
2,3.6999999999999993,R57_20140620_0_LY,0.381230578,R57,20140620,0,LY
2,3.6999999999999993,R58_20140618_0_LY,0.146288932,R58,20140618,0,LY
2,3.6999999999999993,R69_20141209_0_LY,0.612424347,R69,20141209,0,LY
2,3.6999999999999993,R72_20141210_0_LY,0.344201739,R72,20141210,0,LY
2,3.6999999999999993,R29_20130301_1_LY,0.194129427,R29,20130301,1,LY
2,3.6999999999999993,R32_20130227_1_LY,0.463458755,R32,20130227,1,LY
2,3.6999999999999993,R34_20130227_1_LY,0.257928001,R34,20130227,1,LY
2,3.6999999999999993,R52_20130913_1_LY,0.028444471,R52,20130913,1,LY
2,3.6999999999999993,R54_20140617_1_LY,-0.181701923,R54,20140617,1,LY
2,3.6999999999999993,R55_20140619_1_LY,0.465732687,R55,20140619,1,LY
2,3.6999999999999993,R57_20140620_1_LY,0.455790109,R57,20140620,1,LY
2,3.6999999999999993,R69_20141209_1_LY,0.341755386,R69,20141209,1,LY
2,3.6999999999999993,R72_20141210_1_LY,0.275698467,R72,20141210,1,LY
2,3.8000000000000007,R29_20130227_0_SAL,0.024728157,R29,20130227,0,SAL
2,3.8000000000000007,R34_20130301_0_SAL,-0.039986458,R34,20130301,0,SAL
2,3.8000000000000007,R52_20130911_0_SAL,0.110361522,R52,20130911,0,SAL
2,3.8000000000000007,R54_20140619_0_SAL,-0.001161938,R54,20140619,0,SAL
2,3.8000000000000007,R56_20140619_0_SAL,-0.013238723,R56,20140619,0,SAL
2,3.8000000000000007,R57_20140618_0_SAL,0.102232282,R57,20140618,0,SAL
2,3.8000000000000007,R58_20140620_0_SAL,0.086751334,R58,20140620,0,SAL
2,3.8000000000000007,R69_20141211_0_SAL,0.605510646,R69,20141211,0,SAL
2,3.8000000000000007,R72_20141212_0_SAL,-0.054947911,R72,20141212,0,SAL
2,3.8000000000000007,R29_20130227_1_SAL,0.123047318,R29,20130227,1,SAL
2,3.8000000000000007,R32_20130301_1_SAL,0.090804398,R32,20130301,1,SAL
2,3.8000000000000007,R34_20130301_1_SAL,0.164744484,R34,20130301,1,SAL
2,3.8000000000000007,R52_20130911_1_SAL,-0.444474098,R52,20130911,1,SAL
2,3.8000000000000007,R54_20140619_1_SAL,-0.050518242,R54,20140619,1,SAL
2,3.8000000000000007,R55_20140617_1_SAL,0.249713355,R55,20140617,1,SAL
2,3.8000000000000007,R57_20140618_1_SAL,0.177239534,R57,20140618,1,SAL
2,3.8000000000000007,R69_20141211_1_SAL,0.180459411,R69,20141211,1,SAL
2,3.8000000000000007,R72_20141212_1_SAL,-0.024669899,R72,20141212,1,SAL
2,3.8000000000000007,R29_20130301_0_LY,-0.079383189,R29,20130301,0,LY
2,3.8000000000000007,R34_20130227_0_LY,0.158430062,R34,20130227,0,LY
2,3.8000000000000007,R52_20130913_0_LY,0.064590905,R52,20130913,0,LY
2,3.8000000000000007,R54_20140617_0_LY,0.018202028,R54,20140617,0,LY
2,3.8000000000000007,R56_20140617_0_LY,-0.289193888,R56,20140617,0,LY
2,3.8000000000000007,R57_20140620_0_LY,0.404244438,R57,20140620,0,LY
2,3.8000000000000007,R58_20140618_0_LY,0.113884951,R58,20140618,0,LY
2,3.8000000000000007,R69_20141209_0_LY,0.566115686,R69,20141209,0,LY
2,3.8000000000000007,R72_20141210_0_LY,0.418995885,R72,20141210,0,LY
2,3.8000000000000007,R29_20130301_1_LY,0.224975183,R29,20130301,1,LY
2,3.8000000000000007,R32_20130227_1_LY,0.419869041,R32,20130227,1,LY
