Period,Time,UniqueID,DA,drug,Subj
Post,-2,SAL_M01007385,-0.352702075,SAL,M01007385
Post,-2,SAL_M01043741,0.078877275,SAL,M01043741
Post,-2,SAL_M01043743,-0.608943563,SAL,M01043743
Post,-2,SAL_M01059148,-0.306686967,SAL,M01059148
Post,-2,SAL_M1059151,-1.349171712,SAL,M1059151
Post,-2,SAL_M1059153,-0.677933117,SAL,M1059153
Post,-2,LY_M01007386,-0.139015176,LY,M01007386
Post,-2,LY_M01007391,0.173093825,LY,M01007391
Post,-2,LY_M01043738,-0.281050851,LY,M01043738
Post,-2,LY_M01043742,0.125984814,LY,M01043742
Post,-2,LY_M01059147,-0.246283747,LY,M01059147
Post,-2,LY_M1059152,-0.202719944,LY,M1059152
Post,-1.9,SAL_M01007385,-0.411432716,SAL,M01007385
Post,-1.9,SAL_M01043741,0.17335302,SAL,M01043741
Post,-1.9,SAL_M01043743,-0.386101151,SAL,M01043743
Post,-1.9,SAL_M01059148,-0.298868328,SAL,M01059148
Post,-1.9,SAL_M1059151,-1.199225718,SAL,M1059151
Post,-1.9,SAL_M1059153,-0.95501677,SAL,M1059153
Post,-1.9,LY_M01007386,0.328323515,LY,M01007386
Post,-1.9,LY_M01007391,0.097069782,LY,M01007391
Post,-1.9,LY_M01043738,-0.276483994,LY,M01043738
Post,-1.9,LY_M01043742,-0.205696282,LY,M01043742
Post,-1.9,LY_M01059147,-0.114843214,LY,M01059147
Post,-1.9,LY_M1059152,-0.061438745,LY,M1059152
Post,-1.7999999999999998,SAL_M01007385,-0.335052652,SAL,M01007385
Post,-1.7999999999999998,SAL_M01043741,-0.02552112,SAL,M01043741
Post,-1.7999999999999998,SAL_M01043743,-0.28996666,SAL,M01043743
Post,-1.7999999999999998,SAL_M01059148,-0.346089733,SAL,M01059148
Post,-1.7999999999999998,SAL_M1059151,-1.791558614,SAL,M1059151
Post,-1.7999999999999998,SAL_M1059153,-1.113316382,SAL,M1059153
Post,-1.7999999999999998,LY_M01007386,0.406560745,LY,M01007386
Post,-1.7999999999999998,LY_M01007391,-0.006260645,LY,M01007391
Post,-1.7999999999999998,LY_M01043738,-0.410013005,LY,M01043738
Post,-1.7999999999999998,LY_M01043742,-0.174230898,LY,M01043742
Post,-1.7999999999999998,LY_M01059147,-0.237958382,LY,M01059147
Post,-1.7999999999999998,LY_M1059152,-0.180258877,LY,M1059152
Post,-1.7000000000000002,SAL_M01007385,-0.30285164999999997,SAL,M01007385
Post,-1.7000000000000002,SAL_M01043741,-0.439637896,SAL,M01043741
Post,-1.7000000000000002,SAL_M01043743,-0.104799581,SAL,M01043743
Post,-1.7000000000000002,SAL_M01059148,-0.398474275,SAL,M01059148
Post,-1.7000000000000002,SAL_M1059151,-0.09223295,SAL,M1059151
Post,-1.7000000000000002,SAL_M1059153,-1.104358092,SAL,M1059153
Post,-1.7000000000000002,LY_M01007386,0.684944989,LY,M01007386
Post,-1.7000000000000002,LY_M01007391,-0.110552635,LY,M01007391
Post,-1.7000000000000002,LY_M01043738,-0.336576334,LY,M01043738
Post,-1.7000000000000002,LY_M01043742,0.114331147,LY,M01043742
Post,-1.7000000000000002,LY_M01059147,-0.30834299,LY,M01059147
Post,-1.7000000000000002,LY_M1059152,-0.295957691,LY,M1059152
Post,-1.6,SAL_M01007385,-0.308118092,SAL,M01007385
Post,-1.6,SAL_M01043741,0.018266961,SAL,M01043741
Post,-1.6,SAL_M01043743,-0.089969402,SAL,M01043743
Post,-1.6,SAL_M01059148,-0.392650107,SAL,M01059148
Post,-1.6,SAL_M1059151,-0.749618036,SAL,M1059151
Post,-1.6,SAL_M1059153,-1.010776038,SAL,M1059153
Post,-1.6,LY_M01007386,0.255760026,LY,M01007386
Post,-1.6,LY_M01007391,-0.285619397,LY,M01007391
Post,-1.6,LY_M01043738,-0.393745093,LY,M01043738
Post,-1.6,LY_M01043742,0.2690989,LY,M01043742
Post,-1.6,LY_M01059147,-0.419984619,LY,M01059147
Post,-1.6,LY_M1059152,-0.23585768,LY,M1059152
Post,-1.5,SAL_M01007385,-0.244001885,SAL,M01007385
Post,-1.5,SAL_M01043741,0.166715547,SAL,M01043741
Post,-1.5,SAL_M01043743,-0.005179856,SAL,M01043743
Post,-1.5,SAL_M01059148,-0.246476242,SAL,M01059148
Post,-1.5,SAL_M1059151,-0.965200696,SAL,M1059151
