subject,date,drug,channel,uniqueID,includeSubj,trialexclude,trialNum,rewardMagnitude,responselatency,MagEntry10sPre,MagEntry10sPost,AUC5s,peak5s,latency2peak5s
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,TRUE,5,4,6,0,3,5.541345432,0.637148721,3.4
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,FALSE,6,2,0,0,1,9.881209008,1.703441721,3
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,FALSE,7,4,11,0,4,3.835111404,1.15306057,1.8
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,FALSE,8,2,7,4,9,5.151157826,0.541538416,2.6
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,FALSE,9,1,4,3,5,0.38357576,0.569582305,0.9
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,FALSE,10,2,10,6,5,7.158211104,0.709254256,3.2
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,TRUE,11,1,9,9,5,12.30041164,0.89416591,2.8
57,20140618,SAL,0,57_20140618_0_SAL,TRUE,FALSE,12,4,10,0,1,8.421599534,1.078686092,1.7
57,20140620,LY,0,57_20140620_0_LY,TRUE,FALSE,1,2,2,3,5,27.67495985,1.244543985,4.1
57,20140620,LY,0,57_20140620_0_LY,TRUE,FALSE,2,1,3,3,6,13.09560113,1.093020574,3.2
57,20140620,LY,0,57_20140620_0_LY,TRUE,FALSE,3,4,0,7,2,28.7429553,1.161251967,2
57,20140620,LY,0,57_20140620_0_LY,TRUE,TRUE,4,1,12,0,5,-10.03726405,0.000206605,0.4
57,20140620,LY,0,57_20140620_0_LY,TRUE,FALSE,5,4,0,7,2,37.4477419,1.765349958,1.8
57,20140620,LY,0,57_20140620_0_LY,TRUE,FALSE,6,2,12,7,4,24.77019298,1.200133048,1.8
57,20140620,LY,0,57_20140620_0_LY,TRUE,FALSE,7,4,17,5,3,23.53666367,1.90713662,4.1
57,20140620,LY,0,57_20140620_0_LY,TRUE,FALSE,8,2,3,0,5,16.91258618,1.173238128,5
57,20140620,LY,0,57_20140620_0_LY,TRUE,FALSE,9,1,0,5,6,19.26753886,1.213912777,0.7
57,20140620,LY,0,57_20140620_0_LY,TRUE,FALSE,10,2,3,2,1,26.79666844,1.124353319,4.2
57,20140620,LY,0,57_20140620_0_LY,TRUE,FALSE,11,1,0,8,1,11.34750177,1.045201025,2.9
57,20140620,LY,0,57_20140620_0_LY,TRUE,FALSE,12,4,4,6,1,13.3530683,0.844788211,4.5
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,1,2,6,0,5,19.15856396,0.96752961,1.9
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,2,1,4,2,3,57.09097442,2.317961938,1
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,3,4,21,3,1,43.65389766,1.542968203,3
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,4,1,52,0,2,22.81130171,1.207477053,1.2
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,5,4,3,0,2,21.21244163,1.513625775,4.2
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,6,2,7,2,5,36.55333147,1.641167771,1.4
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,7,4,15,2,1,49.11742343,3.190532786,1.6
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,8,2,3,2,4,10.57307177,1.159905161,1.3
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,9,1,31,4,3,17.81104857,0.945409189,1.4
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,10,2,2,1,5,19.87298789,1.384131402,1.2
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,11,1,1,0,4,4.042973823,0.844280821,0.6
58,20140618,LY,0,58_20140618_0_LY,TRUE,FALSE,12,4,6,3,1,23.81928631,1.423497653,1.5
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,1,2,28,3,1,9.72899535,1.048512348,3.3
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,2,1,3,1,4,-1.729529075,0.730562662,0.7
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,3,4,10,1,2,7.09293568,0.677284023,3
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,4,1,2,5,1,-1.240267692,0.590405886,0.9
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,5,4,3,2,1,-3.48464153,0.393556604,0.6
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,6,2,5,2,1,18.8288708,0.947170249,1
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,7,4,2,4,3,2.336340327,0.8699154,2.4
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,8,2,0,5,0,-1.820544899,0.49202564,1
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,9,1,0,1,2,3.300298283,0.802006069,3.8
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,10,2,5,1,6,10.32840275,0.865154276,3.9
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,11,1,0,6,0,10.21006798,0.677112777,2.5
58,20140620,SAL,0,58_20140620_0_SAL,TRUE,FALSE,12,4,0,4,0,10.9966842,1.056810007,1.2
69,20141209,LY,0,69_20141209_0_LY,TRUE,FALSE,1,2,14,0,2,61.11885751,2.156921562,2.1
69,20141209,LY,0,69_20141209_0_LY,TRUE,FALSE,2,1,4,8,2,39.6017341,1.383378473,2.1
69,20141209,LY,0,69_20141209_0_LY,TRUE,FALSE,3,4,6,0,1,72.63939857,2.465460548,3.1
69,20141209,LY,0,69_20141209_0_LY,TRUE,FALSE,4,1,1,3,2,7.363992006,0.892764861,1.4
69,20141209,LY,0,69_20141209_0_LY,TRUE,TRUE,5,4,2,3,1,46.00013619,1.673023994,4.8
69,20141209,LY,0,69_20141209_0_LY,TRUE,FALSE,6,2,1,2,1,40.75209606,1.490120576,1.1
