day,session,room,Subj,Feeding,Amph,bin5mins,activity,bin10mins,bin15mins,bin20mins,bin30mins,bin60mins
1,1,53,55,Ad Lib,5,-7,544.254736,-3,-2,-1,-1,-0
1,1,53,55,Ad Lib,5,-6,594.012422,-3,-2,-1,-1,-0
1,1,53,55,Ad Lib,5,-5,209.323319,-2,-1,-1,-0,-0
1,1,53,55,Ad Lib,5,-4,259.944749,-2,-1,-1,-0,-0
1,1,53,55,Ad Lib,5,-3,223.904086,-1,-1,-0,-0,-0
1,1,53,55,Ad Lib,5,-2,238.926776,-1,-0,-0,-0,-0
1,1,53,55,Ad Lib,5,-1,196.617305,-0,-0,-0,-0,-0
1,1,53,55,Ad Lib,5,0,186.531343,0,0,0,0,0
1,1,53,55,Ad Lib,5,1,947.617219,1,1,1,1,1
1,1,53,55,Ad Lib,5,2,912.992534,1,1,1,1,1
1,1,53,55,Ad Lib,5,3,1334.061879,2,1,1,1,1
1,1,53,55,Ad Lib,5,4,1716.002574,2,2,1,1,1
1,1,53,55,Ad Lib,5,5,1436.702336,3,2,2,1,1
1,1,53,55,Ad Lib,5,6,1298.843691,3,2,2,1,1
1,1,53,55,Ad Lib,5,7,1275.565374,4,3,2,2,1
1,1,53,55,Ad Lib,5,8,1263.744251,4,3,2,2,1
1,1,53,55,Ad Lib,5,9,1169.633401,5,3,3,2,1
1,1,53,55,Ad Lib,5,10,1063.940749,5,4,3,2,1
1,1,53,55,Ad Lib,5,11,1053.863824,6,4,3,2,1
1,1,53,55,Ad Lib,5,12,987.333816,6,4,3,2,1
1,1,53,55,Ad Lib,5,13,985.264705,7,5,4,3,2
1,1,53,55,Ad Lib,5,14,917.26869,7,5,4,3,2
1,1,53,55,Ad Lib,5,15,868.165127,8,5,4,3,2
1,1,53,55,Ad Lib,5,16,859.034134,8,6,4,3,2
1,1,53,55,Ad Lib,5,17,946.144041,9,6,5,3,2
1,1,53,55,Ad Lib,5,18,941.957342,9,6,5,3,2
1,1,53,55,Ad Lib,5,19,1093.65571,10,7,5,4,2
1,1,53,55,Ad Lib,5,20,1131.155212,10,7,5,4,2
1,1,53,55,Ad Lib,5,21,1066.761038,11,7,6,4,2
1,1,53,55,Ad Lib,5,22,1263.274657,11,8,6,4,2
1,1,53,55,Ad Lib,5,23,992.25348,12,8,6,4,2
1,1,53,55,Ad Lib,5,24,1013.514169,12,8,6,4,2
1,1,53,56,Ad Lib,5,-11,1161.192422,-5,-3,-2,-1,-0
1,1,53,56,Ad Lib,5,-10,1092.007508,-5,-3,-2,-1,-0
1,1,53,56,Ad Lib,5,-9,975.671662,-4,-3,-2,-1,-0
1,1,53,56,Ad Lib,5,-8,656.70471,-4,-2,-2,-1,-0
1,1,53,56,Ad Lib,5,-7,546.57103300000006,-3,-2,-1,-1,-0
1,1,53,56,Ad Lib,5,-6,213.028078,-3,-2,-1,-1,-0
1,1,53,56,Ad Lib,5,-5,356.481217,-2,-1,-1,-0,-0
1,1,53,56,Ad Lib,5,-4,1103.938752,-2,-1,-1,-0,-0
1,1,53,56,Ad Lib,5,-3,521.089772,-1,-1,-0,-0,-0
1,1,53,56,Ad Lib,5,-2,440.933195,-1,-0,-0,-0,-0
1,1,53,56,Ad Lib,5,-1,611.686349,-0,-0,-0,-0,-0
1,1,53,56,Ad Lib,5,0,185.266736,0,0,0,0,0
1,1,53,56,Ad Lib,5,1,1295.255154,1,1,1,1,1
1,1,53,56,Ad Lib,5,2,1388.479636,1,1,1,1,1
1,1,53,56,Ad Lib,5,3,2601.899228,2,1,1,1,1
1,1,53,56,Ad Lib,5,4,2243.6291,2,2,1,1,1
1,1,53,56,Ad Lib,5,5,1327.062514,3,2,2,1,1
1,1,53,56,Ad Lib,5,6,666.287717,3,2,2,1,1
1,1,53,56,Ad Lib,5,7,535.974705,4,3,2,2,1
1,1,53,56,Ad Lib,5,8,540.707851,4,3,2,2,1
1,1,53,56,Ad Lib,5,9,538.079104,5,3,3,2,1
1,1,53,56,Ad Lib,5,10,585.10051,5,4,3,2,1
1,1,53,56,Ad Lib,5,11,633.459803,6,4,3,2,1
1,1,53,56,Ad Lib,5,12,588.067644,6,4,3,2,1
1,1,53,56,Ad Lib,5,13,577.640273,7,5,4,3,2
1,1,53,56,Ad Lib,5,14,584.022931,7,5,4,3,2
1,1,53,56,Ad Lib,5,15,724.171057,8,5,4,3,2
1,1,53,56,Ad Lib,5,16,717.398662,8,6,4,3,2
1,1,53,56,Ad Lib,5,17,697.744336,9,6,5,3,2
1,1,53,56,Ad Lib,5,18,906.990959,9,6,5,3,2
1,1,53,56,Ad Lib,5,19,1365.292678,10,7,5,4,2
1,1,53,56,Ad Lib,5,20,1266.679844,10,7,5,4,2
1,1,53,56,Ad Lib,5,21,1407.546352,11,7,6,4,2
1,1,53,56,Ad Lib,5,22,1186.288478,11,8,6,4,2
1,1,53,56,Ad Lib,5,23,1885.586536,12,8,6,4,2
1,1,53,56,Ad Lib,5,24,1317.461908,12,8,6,4,2
1,1,53,1,Food Dep,5,-11,1381.404604,-5,-3,-2,-1,-0
1,1,53,1,Food Dep,5,-10,939.860253,-5,-3,-2,-1,-0
1,1,53,1,Food Dep,5,-9,596.550704,-4,-3,-2,-1,-0
1,1,53,1,Food Dep,5,-8,317.857385,-4,-2,-2,-1,-0
1,1,53,1,Food Dep,5,-7,189.790059,-3,-2,-1,-1,-0
1,1,53,1,Food Dep,5,-6,188.515461,-3,-2,-1,-1,-0
1,1,53,1,Food Dep,5,-5,196.564655,-2,-1,-1,-0,-0
1,1,53,1,Food Dep,5,-4,1009.902254,-2,-1,-1,-0,-0
1,1,53,1,Food Dep,5,-3,325.845059,-1,-1,-0,-0,-0
1,1,53,1,Food Dep,5,-2,294.435716,-1,-0,-0,-0,-0
1,1,53,1,Food Dep,5,-1,363.815356,-0,-0,-0,-0,-0
1,1,53,1,Food Dep,5,0,321.593612,0,0,0,0,0
1,1,53,1,Food Dep,5,1,1145.964117,1,1,1,1,1
1,1,53,1,Food Dep,5,2,1311.471384,1,1,1,1,1
1,1,53,1,Food Dep,5,3,1743.364592,2,1,1,1,1
1,1,53,1,Food Dep,5,4,2154.250355,2,2,1,1,1
1,1,53,1,Food Dep,5,5,2144.954482,3,2,2,1,1
1,1,53,1,Food Dep,5,6,2249.904984,3,2,2,1,1
1,1,53,1,Food Dep,5,7,2274.443543,4,3,2,2,1
1,1,53,1,Food Dep,5,8,2182.943328,4,3,2,2,1
1,1,53,1,Food Dep,5,9,2257.613844,5,3,3,2,1
1,1,53,1,Food Dep,5,10,2353.280825,5,4,3,2,1
1,1,53,1,Food Dep,5,11,2290.974808,6,4,3,2,1
1,1,53,1,Food Dep,5,12,2156.50228,6,4,3,2,1
1,1,53,1,Food Dep,5,13,2248.818751,7,5,4,3,2
1,1,53,1,Food Dep,5,14,2253.224834,7,5,4,3,2
1,1,53,1,Food Dep,5,15,2270.635748,8,5,4,3,2
1,1,53,1,Food Dep,5,16,2375.140561,8,6,4,3,2
1,1,53,1,Food Dep,5,17,2336.206181,9,6,5,3,2
1,1,53,1,Food Dep,5,18,2337.203931,9,6,5,3,2
1,1,53,1,Food Dep,5,19,2146.631527,10,7,5,4,2
1,1,53,1,Food Dep,5,20,2174.798417,10,7,5,4,2
1,1,53,1,Food Dep,5,21,2141.425784,11,7,6,4,2
1,1,53,1,Food Dep,5,22,2167.000628,11,8,6,4,2
1,1,53,1,Food Dep,5,23,2216.601194,12,8,6,4,2
1,1,53,1,Food Dep,5,24,2092.312017,12,8,6,4,2
1,1,53,2,Food Dep,5,-11,1882.627991,-5,-3,-2,-1,-0
1,1,53,2,Food Dep,5,-10,1072.548143,-5,-3,-2,-1,-0
1,1,53,2,Food Dep,5,-9,316.808343,-4,-3,-2,-1,-0
1,1,53,2,Food Dep,5,-8,874.355752,-4,-2,-2,-1,-0
1,1,53,2,Food Dep,5,-7,277.866313,-3,-2,-1,-1,-0
1,1,53,2,Food Dep,5,-6,171.873488,-3,-2,-1,-1,-0
1,1,53,2,Food Dep,5,-5,762.192414,-2,-1,-1,-0,-0
1,1,53,2,Food Dep,5,-4,488.736371,-2,-1,-1,-0,-0
1,1,53,2,Food Dep,5,-3,1022.845364,-1,-1,-0,-0,-0
1,1,53,2,Food Dep,5,-2,388.808165,-1,-0,-0,-0,-0
1,1,53,2,Food Dep,5,-1,228.882114,-0,-0,-0,-0,-0
1,1,53,2,Food Dep,5,0,446.052425,0,0,0,0,0
1,1,53,2,Food Dep,5,1,402.177682,1,1,1,1,1
1,1,53,2,Food Dep,5,2,744.118319,1,1,1,1,1
