folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,counterbalancing,Period,state_ID,CS_name,Stage,Day
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,535,2,0,0,0,0,1,0.0199999999999818,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,536,3,0,0,0,0,0,1,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,537,4,0,0,0,0,0,1,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,538,5,0,0,0,0,0,0.779999999999973,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,539,6,0,0,0,0,1,0.639999999999986,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,540,7,0,0,0,0,0,0,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,541,8,0,0,0,0,0,0,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,542,9,0,0,0,0,0,0,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,543,10,0,0,0,0,0,0,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,544,11,0,0,0,0,0,0,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,545,12,0,0,0,0,0,0,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,546,13,0,0,0,0,0,0,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,547,14,0,0,0,0,0,0,0,0,A,CS,Siren,C+++,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,3,6,548,15,0,0,0,0,0,0,0,0,A,CS,Siren,C+++,Stage1,Day1
