Period,Time,SAL_M01007385,SAL_M01043741,SAL_M01043743,SAL_M01059148,SAL_M1059151,SAL_M1059153,LY_M01007386,LY_M01007391,LY_M01043738,LY_M01043742,LY_M01059147,LY_M1059152
Post,11.5,-0.136238962,1.773657382,1.240689787,-0.252683339,0.913659866,-0.098706328,2.006978128,0.242732445,-0.032930114,0.113197615,0.370823178,0.229339596
Post,11.6,-0.080219409,1.436507941,1.303538061,-0.213943991,1.13304169,-0.099859325,1.308153043,0.263765537,0.118215991,0.314547415,0.26085549,0.193458108
Post,11.7,0.028131196,1.988560255,1.275483088,-0.168722321,-0.624495632,-0.168473266,1.84129062,0.310336064,0.217240399,0.269049333,0.023120632,-0.049441137
Post,11.8,-0.032898167,1.689307766,1.203880364,-0.15122161,0.369044571,-0.185105534,0.987451379,0.278755412,0.259224339,0.126763642,0.001694445,-0.145440513
Post,11.9,0.014270969,1.701972456,1.288997905,-0.271464974,1.031399282,0.05077971,1.647477429,0.232935319,0.296395661,0.143524747,0.058664973,-0.35837091
Post,12,-0.022900222,1.856195131,1.263657123,-0.453205778,0.413276904,0.00010078,0.866955506,0.24675862,0.257884207,0.311216757,0.050351532,-0.287397094
Post,12.1,-0.117898182,1.288068835,1.273099326,-0.395796181,0.001608337,0.090437567,0.630469093,0.294213053,0.307944704,0.328369171,0.128037249,-0.150052118
Post,12.2,-0.122167477,1.506585314,1.112189769,-0.396481701,1.308210368,-0.090364271,0.930986348,0.374192436,0.320163098,0.219841714,0.114970332,-0.139145706
Post,12.3,-0.042455909,0.925681925,1.030176057,-0.384643574,1.122700634,-0.236420475,1.105777628,0.28406919,0.27478185,0.24455772,0.081635583,-0.061042543
Post,12.4,-0.092483353,0.954605214,0.967549507,-0.284450384,0.512213102,-0.134131325,1.003930478,0.252117322,0.247349621,0.63108604,0.166265097,-0.036474352
Post,12.5,-0.116681786,0.954066804,0.969339218,-0.313933656,0.959671661,-0.137950336,0.849881399,0.096731773,0.288393073,0.763794411,0.137940266,-0.096798436
Post,12.6,-0.083097266,1.435782511,1.032083233,-0.289547847,-0.587731533,-0.131478824,0.780381101,0.195366443,0.114471955,0.560069976,0.007942685,-0.072068667
Post,12.7,-0.11507604,1.635331055,1.112345264,-0.328073572,0.072300395,-0.104672144,1.264619538,0.203135306,0.115364692,0.405898211,0.121660526,0.051913743
Post,12.8,-0.138640874,1.31269576,1.062280322,-0.495219628,-0.251164746,-0.180949833,0.869063942,0.211142855,0.153035767,0.659019991,0.15390752,0.161086033
Post,12.9,-0.172084401,1.466973719,1.221887406,-0.517118414,0.112462962,-0.153834331,1.624336802,0.323293468,0.175978062,0.733472301,0.159386613,0.165620442
Post,13,-0.145311296,1.260000852,1.16225859,-0.53137266,-0.558177291,-0.102707236,1.066690402,0.321369373,0.116883432,0.708640618,0.334836013,0.191843744
Post,13.1,-0.09202635,1.105026767,1.152607277,-0.523586021,0.68486181,-0.0837305,1.004823547,0.360204477,0.103283698,0.487645188,0.406221739,0.165096055
Post,13.2,-0.008281666,1.24662323,1.055475911,-0.504816874,2.135231161,-0.181386253,1.173813096,0.268686838,0.153029694,0.403479008,0.37861334,0.17811158
Post,13.3,0.013475067,1.33912024,1.022377364,-0.657220373,-0.439998343,-0.237573721,1.422264219,0.11162354,0.230688528,0.419593892,0.338339906,0.165031344
Post,13.4,-0.080656309,1.496806564,1.115179361,-0.624392646,0.237674926,-0.25372824,0.949915611,0.02162465,0.213827862,0.196307206,0.085375152,0.106090453
Post,13.5,-0.103716622,1.504607298,0.88903896,-0.613492685,-0.347804341,-0.391130916,1.345062662,0.248905946,0.18297053,0.069218238,-0.029011776,-0.127808919
