folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur,counterbalancing,sex,Left_LeverCueID,Right_LeverCueID,CS_LeftLeverName,CS_RightLeverName,TestCondition,Test,Day
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,26,1500,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,27,1560,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,28,1620,1680,3,0.439999999999827,0,0,0,0,0,0,0,0,1,1,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,29,1680,1740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P37,CRFTest1P37_Rat40.csv,40____,37,5,1,C,Marios,190,30,1740,1800,3,0.759999999999991,0,0,0,0,0,0,0,0,1,1,0,0,0,0,C,M,Noise,Click,D+,C++,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,2,60,120,1,0.0600000000000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,3,120,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,4,180,240,0,0,1,1.63999999999999,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,5,240,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,6,300,360,0,0,5,1.38,0,0,0,0,0,0,0,0,3,3,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,7,360,420,2,3.45999999999998,2,0.120000000000005,0,0,0,0,1,1,0,0,1,1,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,8,420,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13
Test1_Day13,CRFTest1P38,CRFTest1P38_Rat35.csv,35____,38,13,1,C,Marios,189,9,480,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,Test1,Day13
