folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur,counterbalancing,sex,Left_LeverCueID,Right_LeverCueID,CS_LeftLeverName,CS_RightLeverName,TestCondition,Test,Day
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,5,354.92,414.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,6,414.92,474.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,7,474.92,534.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,8,534.92,594.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,9,594.92,654.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,10,654.92,714.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,11,714.92,774.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,12,774.92,834.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,13,834.92,894.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
RepeatTest1_Day24,CRFRepeatTest1P65,CRFRepeatTest1P65_Rat35.csv,35____,65,13,1,C,Marios,293,14,894.92,954.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,M,Click,Tone,B+-,D+,Low_100Vs50,RepeatTest1,Day24
