Group,Subject,Cue,Day,TrialBlock2,Period,MagEntries
Saline,27,CD,12,3,CSPre,6.5
Saline,28,AB,12,1,PreCS,0.5
Saline,28,AB,12,1,CS,6
Saline,28,AB,12,1,CSPre,5.5
Saline,28,AB,12,2,PreCS,0.5
Saline,28,AB,12,2,CS,4.5
Saline,28,AB,12,2,CSPre,4
Saline,28,AB,12,3,PreCS,0
Saline,28,AB,12,3,CS,4
Saline,28,AB,12,3,CSPre,4
Saline,28,CD,12,1,PreCS,0
Saline,28,CD,12,1,CS,3
Saline,28,CD,12,1,CSPre,3
Saline,28,CD,12,2,PreCS,0.5
Saline,28,CD,12,2,CS,4
Saline,28,CD,12,2,CSPre,3.5
Saline,28,CD,12,3,PreCS,0.5
Saline,28,CD,12,3,CS,5
Saline,28,CD,12,3,CSPre,4.5
Saline,29,AB,12,1,PreCS,1
Saline,29,AB,12,1,CS,2.5
Saline,29,AB,12,1,CSPre,1.5
Saline,29,AB,12,2,PreCS,0
Saline,29,AB,12,2,CS,3
Saline,29,AB,12,2,CSPre,3
Saline,29,AB,12,3,PreCS,0
Saline,29,AB,12,3,CS,1.5
Saline,29,AB,12,3,CSPre,1.5
Saline,29,CD,12,1,PreCS,0.5
Saline,29,CD,12,1,CS,2.5
Saline,29,CD,12,1,CSPre,2
Saline,29,CD,12,2,PreCS,0
Saline,29,CD,12,2,CS,2.5
Saline,29,CD,12,2,CSPre,2.5
Saline,29,CD,12,3,PreCS,0
Saline,29,CD,12,3,CS,0.5
Saline,29,CD,12,3,CSPre,0.5
Saline,30,AB,12,1,PreCS,1.5
Saline,30,AB,12,1,CS,3
Saline,30,AB,12,1,CSPre,1.5
Saline,30,AB,12,2,PreCS,0
Saline,30,AB,12,2,CS,6
Saline,30,AB,12,2,CSPre,6
Saline,30,AB,12,3,PreCS,0
Saline,30,AB,12,3,CS,5.5
Saline,30,AB,12,3,CSPre,5.5
Saline,30,CD,12,1,PreCS,0
Saline,30,CD,12,1,CS,3
Saline,30,CD,12,1,CSPre,3
Saline,30,CD,12,2,PreCS,0
Saline,30,CD,12,2,CS,0.5
Saline,30,CD,12,2,CSPre,0.5
Saline,30,CD,12,3,PreCS,0
Saline,30,CD,12,3,CS,4.5
Saline,30,CD,12,3,CSPre,4.5
