Day,counterbalancing,Pavlovian_cbx,Instrumental_cbx,timebins,subject,Stimulus,LPFreq,LPDur,Reinforcer
Day4,B,Y,B,1,25____,Steady,2,0.28000000000003,0
Day4,B,Y,B,1,43____,Flash,6,0.97999999999999,1
Day4,B,Y,B,1,43____,Steady,2,0.680000000000007,0
Day4,B,Y,B,2,20____,Flash,0,0,0
Day4,B,Y,B,2,20____,Steady,10,7.88000000000022,4
Day4,B,Y,B,2,24____,Flash,11,10.2400000000001,5
Day4,B,Y,B,2,24____,Steady,2,1.34000000000003,0
Day4,B,Y,B,2,25____,Flash,1,0.159999999999968,0
Day4,B,Y,B,2,25____,Steady,2,0.6400000000001,0
Day4,B,Y,B,2,43____,Flash,4,0.319999999999936,1
Day4,B,Y,B,2,43____,Steady,0,0,0
Day4,B,Y,B,3,20____,Flash,0,0,0
Day4,B,Y,B,3,20____,Steady,12,16.5600000000004,6
Day4,B,Y,B,3,24____,Flash,3,1.59999999999991,1
Day4,B,Y,B,3,24____,Steady,0,0,0
Day4,B,Y,B,3,25____,Flash,6,7.01999999999998,2
Day4,B,Y,B,3,25____,Steady,5,3.75999999999999,2
Day4,B,Y,B,3,43____,Flash,13,4.4200000000003,3
Day4,B,Y,B,3,43____,Steady,1,2.20000000000005,0
Day4,B,Y,B,4,20____,Flash,0,0,0
Day4,B,Y,B,4,20____,Steady,23,46.2200000000007,9
Day4,B,Y,B,4,24____,Flash,7,5.46000000000026,4
Day4,B,Y,B,4,24____,Steady,7,2.07999999999947,2
Day4,B,Y,B,4,25____,Flash,2,2.86000000000013,1
Day4,B,Y,B,4,25____,Steady,0,0,0
Day4,B,Y,B,4,43____,Flash,8,0.860000000000127,2
Day4,B,Y,B,4,43____,Steady,0,0,0
