Day,subject,sex,CS_name,Period,MagEntries,MagDuration
6,31____,M,B_O2,Pre,0,0
6,31____,M,B_O2,CSPre,3,4.794999999999902
6,31____,M,BY_,CS,1.875,2.894999999999868
6,31____,M,BY_,Post,1.5,6.255000000000038
6,31____,M,BY_,Pre,1.25,1.207499999999943
6,31____,M,BY_,CSPre,0.625,1.6874999999999252
6,32____,M,A_O1,CS,2.25,2.789999999999992
6,32____,M,A_O1,Post,1.5,7.864999999999938
6,32____,M,A_O1,Pre,1.5,1.1300000000000239
6,32____,M,A_O1,CSPre,0.75,1.6599999999999682
6,32____,M,AX_,CS,0.625,0.6875000000000284
6,32____,M,AX_,Post,1.125,2.1850000000000307
6,32____,M,AX_,Pre,0.375,0.9849999999999569
6,32____,M,AX_,CSPre,0.25,-0.2974999999999285
6,32____,M,B_O2,CS,3.75,5.679999999999893
6,32____,M,B_O2,Post,4,9.165000000000134
6,32____,M,B_O2,Pre,0.5,0.920000000000002
6,32____,M,B_O2,CSPre,3.25,4.759999999999891
6,32____,M,BY_,CS,1,1.2500000000000178
6,32____,M,BY_,Post,1.625,1.4249999999998693
6,32____,M,BY_,Pre,0.5,0.684999999999988
6,32____,M,BY_,CSPre,0.5,0.5650000000000298
6,33____,M,A_O1,CS,3.5,4.159999999999969
6,33____,M,A_O1,Post,3,6.270000000000053
6,33____,M,A_O1,Pre,0,0
6,33____,M,A_O1,CSPre,3.5,4.159999999999969
6,33____,M,AX_,CS,1,1.08749999999997
6,33____,M,AX_,Post,0.875,2.41249999999998
6,33____,M,AX_,Pre,0.5,1.1449999999999674
6,33____,M,AX_,CSPre,0.5,-0.05749999999999744
6,33____,M,B_O2,CS,2.75,5.100000000000095
6,33____,M,B_O2,Post,7.75,6.64499999999994
6,33____,M,B_O2,Pre,0.5,0.10499999999996125
6,33____,M,B_O2,CSPre,2.25,4.995000000000133
6,33____,M,BY_,CS,1.25,1.604999999999976
6,33____,M,BY_,Post,0.625,1.2100000000000364
6,33____,M,BY_,Pre,0.375,0.47750000000000264
6,33____,M,BY_,CSPre,0.875,1.1274999999999733
6,4_____,F,A_O1,CS,2.25,2.965000000000032
6,4_____,F,A_O1,Post,3.5,6.459999999999837
6,4_____,F,A_O1,Pre,0.25,1.0449999999999875
6,4_____,F,A_O1,CSPre,2,1.9200000000000443
6,4_____,F,AX_,CS,0.5,1.1500000000000057
6,4_____,F,AX_,Post,1.375,2.4550000000000836
6,4_____,F,AX_,Pre,0.75,0.600000000000037
6,4_____,F,AX_,CSPre,-0.25,0.5499999999999687
6,4_____,F,B_O2,CS,3,5.710000000000022
6,4_____,F,B_O2,Post,3.75,6.840000000000046
6,4_____,F,B_O2,Pre,0.5,0.740000000000009
6,4_____,F,B_O2,CSPre,2.5,4.970000000000013
6,4_____,F,BY_,CS,1.5,3.0050000000000243
6,4_____,F,BY_,Post,1.875,2.877499999999969
6,4_____,F,BY_,Pre,0.875,0.7775000000000034
6,4_____,F,BY_,CSPre,0.625,2.227500000000021
6,5_____,F,A_O1,CS,2,4.86499999999997
6,5_____,F,A_O1,Post,1,6.870000000000061
6,5_____,F,A_O1,Pre,0,0
6,5_____,F,A_O1,CSPre,2,4.86499999999997
6,5_____,F,AX_,CS,1,2.4500000000000455
6,5_____,F,AX_,Post,1.25,2.9424999999999812
6,5_____,F,AX_,Pre,0.25,0.8499999999999659
6,5_____,F,AX_,CSPre,0.75,1.6000000000000796
6,5_____,F,B_O2,CS,2,5.224999999999987
6,5_____,F,B_O2,Post,0.75,8.054999999999993
6,5_____,F,B_O2,Pre,0.25,0.094999999999999
6,5_____,F,B_O2,CSPre,1.75,5.129999999999988
6,5_____,F,BY_,CS,1,1.7925000000000395
6,5_____,F,BY_,Post,1.25,2.96250000000007
6,5_____,F,BY_,Pre,0.75,1.8574999999999944
6,5_____,F,BY_,CSPre,0.25,-0.06499999999995487
6,6_____,F,A_O1,CS,3.75,3.0100000000000477
6,6_____,F,A_O1,Post,1,2.814999999999997
6,6_____,F,A_O1,Pre,0.25,0.23000000000001825
6,6_____,F,A_O1,CSPre,3.5,2.7800000000000296
6,6_____,F,AX_,CS,1.125,0.59500000000011255
6,6_____,F,AX_,Post,0.75,1.329999999999984
6,6_____,F,AX_,Pre,0.125,0.19749999999999088
6,6_____,F,AX_,CSPre,1,0.39750000000012164
6,6_____,F,B_O2,CS,4.75,3.355000000000104
6,6_____,F,B_O2,Post,4.5,4.469999999999942
6,6_____,F,B_O2,Pre,0.5,0.7450000000000045
6,6_____,F,B_O2,CSPre,4.25,2.6100000000000994
6,6_____,F,BY_,CS,0,0
6,6_____,F,BY_,Post,0.25,0.5775000000000005
6,6_____,F,BY_,Pre,0.25,0.14250000000001956
6,6_____,F,BY_,CSPre,-0.25,-0.14250000000001956
6,7_____,F,A_O1,CS,5.25,2.8549999999998192
6,7_____,F,A_O1,Post,2.5,5.789999999999949
6,7_____,F,A_O1,Pre,2.5,0.8399999999999396
6,7_____,F,A_O1,CSPre,2.75,2.0149999999998798
6,7_____,F,AX_,CS,0.25,0.067499999999967
6,7_____,F,AX_,Post,0.625,1.2550000000000239
6,7_____,F,AX_,Pre,0.625,1.200000000000003
6,7_____,F,AX_,CSPre,-0.375,-1.132500000000036
6,7_____,F,B_O2,CS,4,2.625000000000001
6,7_____,F,B_O2,Post,4.75,5.9850000000000145
6,7_____,F,B_O2,Pre,2,4.150000000000006
6,7_____,F,B_O2,CSPre,2,-1.5250000000000048
6,7_____,F,BY_,CS,0.25,0.1824999999999834
6,7_____,F,BY_,Post,1.75,1.220000000000006
6,7_____,F,BY_,Pre,0.5,1.0774999999999864
6,7_____,F,BY_,CSPre,-0.25,-0.8950000000000029
