TestCondition,protocol,subject,ID_Comparison,ExcludeSubject,Value,Probability,measure,Freq
High_100Vs50,71,41____,Siren_Noise,Keep,High,P100,LP,2
High_100Vs50,71,41____,Siren_Noise,Keep,High,P50,LP,47
High_100Vs50,71,41____,Siren_Noise,Keep,Diff,High,CS,-16
High_100Vs50,71,41____,Siren_Noise,Keep,Diff,High,LP,-45
High_100Vs50,71,41____,Siren_Noise,Keep,PercDiff,High,LP,-91.83673469387755
High_100Vs50,72,12____,Siren_Noise,Exclude,High,P100,CS,1
High_100Vs50,72,12____,Siren_Noise,Exclude,High,P50,CS,0
High_100Vs50,72,12____,Siren_Noise,Exclude,High,P100,LP,3
High_100Vs50,72,12____,Siren_Noise,Exclude,High,P50,LP,0
High_100Vs50,72,12____,Siren_Noise,Exclude,Diff,High,CS,1
High_100Vs50,72,12____,Siren_Noise,Exclude,Diff,High,LP,3
High_100Vs50,72,12____,Siren_Noise,Exclude,PercDiff,High,LP,100
High_100Vs50,72,14____,Noise_Siren,Keep,High,P100,CS,1
High_100Vs50,72,14____,Noise_Siren,Keep,High,P50,CS,4
High_100Vs50,72,14____,Noise_Siren,Keep,High,P100,LP,3
High_100Vs50,72,14____,Noise_Siren,Keep,High,P50,LP,10
High_100Vs50,72,14____,Noise_Siren,Keep,Diff,High,CS,-3
High_100Vs50,72,14____,Noise_Siren,Keep,Diff,High,LP,-7
High_100Vs50,72,14____,Noise_Siren,Keep,PercDiff,High,LP,-53.84615384615385
High_100Vs50,72,37____,Siren_Noise,Exclude,High,P100,CS,0
High_100Vs50,72,37____,Siren_Noise,Exclude,High,P50,CS,0
High_100Vs50,72,37____,Siren_Noise,Exclude,High,P100,LP,0
High_100Vs50,72,37____,Siren_Noise,Exclude,High,P50,LP,1
High_100Vs50,72,37____,Siren_Noise,Exclude,Diff,High,CS,0
High_100Vs50,72,37____,Siren_Noise,Exclude,Diff,High,LP,-1
High_100Vs50,72,37____,Siren_Noise,Exclude,PercDiff,High,LP,-100
High_100Vs50,72,39____,Noise_Siren,Keep,High,P100,CS,35
High_100Vs50,72,39____,Noise_Siren,Keep,High,P50,CS,3
High_100Vs50,72,39____,Noise_Siren,Keep,High,P100,LP,77
