Stage,Day,subject,probability,magnitude,sex,CS_name,Period,MagEntries,MagDuration
1.Acquisition,2,13____,100,Low,F,D+,CS,0.5,1.7150000000001455
1.Acquisition,2,13____,100,Low,F,D+,Post,0.75,3.564999999999941
1.Acquisition,2,13____,100,Low,F,D+,Pre,0.5,0.67999999999995
1.Acquisition,2,13____,100,Low,F,D+,CSPre,0,1.0350000000001955
1.Acquisition,2,14____,50,High,F,A++--,CS,0.75,3.275000000000034
1.Acquisition,2,14____,50,High,F,A++--,Post,1.25,3.095000000000141
1.Acquisition,2,14____,50,High,F,A++--,Pre,1.5,1.305000000000092
1.Acquisition,2,14____,50,High,F,A++--,CSPre,-0.75,1.969999999999942
1.Acquisition,2,14____,50,Low,F,B+-,CS,1.5,3.6050000000000466
1.Acquisition,2,14____,50,Low,F,B+-,Post,1,4.959999999999752
1.Acquisition,2,14____,50,Low,F,B+-,Pre,1,1.9299999999999928
1.Acquisition,2,14____,50,Low,F,B+-,CSPre,0.5,1.6750000000000538
1.Acquisition,2,14____,100,High,F,C++,CS,2.25,5.754999999999839
1.Acquisition,2,14____,100,High,F,C++,Post,2.75,5.365000000000094
1.Acquisition,2,14____,100,High,F,C++,Pre,0.25,0.705000000000041
1.Acquisition,2,14____,100,High,F,C++,CSPre,2,5.049999999999798
1.Acquisition,2,14____,100,Low,F,D+,CS,2,4.719999999999914
1.Acquisition,2,14____,100,Low,F,D+,Post,3.25,4.784999999999997
1.Acquisition,2,14____,100,Low,F,D+,Pre,0.5,0.24999999999999997
1.Acquisition,2,14____,100,Low,F,D+,CSPre,1.5,4.469999999999914
1.Acquisition,2,15____,50,High,F,A++--,CS,0.75,1.590000000000089
1.Acquisition,2,15____,50,High,F,A++--,Post,1.25,3.1399999999999437
1.Acquisition,2,15____,50,High,F,A++--,Pre,0,0
1.Acquisition,2,15____,50,High,F,A++--,CSPre,0.75,1.590000000000089
1.Acquisition,2,15____,50,Low,F,B+-,CS,1.25,2.9449999999999363
1.Acquisition,2,15____,50,Low,F,B+-,Post,2.75,6.794999999999902
1.Acquisition,2,15____,50,Low,F,B+-,Pre,0.5,0.3299999999999273
1.Acquisition,2,15____,50,Low,F,B+-,CSPre,0.75,2.615000000000009
1.Acquisition,2,15____,100,High,F,C++,CS,3.25,5.795000000000215
1.Acquisition,2,15____,100,High,F,C++,Post,4,9.289999999999964
1.Acquisition,2,15____,100,High,F,C++,Pre,1.25,2.325000000000017
1.Acquisition,2,15____,100,High,F,C++,CSPre,2,3.470000000000198
1.Acquisition,2,15____,100,Low,F,D+,CS,1.75,2.480000000000054
1.Acquisition,2,15____,100,Low,F,D+,Post,6,6.309999999999697
1.Acquisition,2,15____,100,Low,F,D+,Pre,0.5,0.49500000000000455
1.Acquisition,2,15____,100,Low,F,D+,CSPre,1.25,1.9850000000000496
1.Acquisition,2,16____,50,High,F,A++--,CS,0.25,0.5299999999999727
1.Acquisition,2,16____,50,High,F,A++--,Post,0.25,2.0249999999999773
1.Acquisition,2,16____,50,High,F,A++--,Pre,0.5,0.5
1.Acquisition,2,16____,50,High,F,A++--,CSPre,-0.25,0.029999999999972715
1.Acquisition,2,16____,50,Low,F,B+-,CS,2.5,4.569999999999936
1.Acquisition,2,16____,50,Low,F,B+-,Post,2,4.504999999999939
1.Acquisition,2,16____,50,Low,F,B+-,Pre,1.25,3.165000000000049
1.Acquisition,2,16____,50,Low,F,B+-,CSPre,1.25,1.4049999999998875
1.Acquisition,2,16____,100,High,F,C++,CS,0.5,0.5850000000000363
