Experiment,Day,Subject,CS_Name,US_Name,AvgRewards,CS_PreCS,MagEntry_PreCS,MagEntry_CS
skr214_sPIT_Satiety,5,10,Noise,Sucrose,2.75,8.125,5.625,13.75
skr214_sPIT_Satiety,5,10,Tone,Maltodextrin,4,2.125,6.75,8.875
skr214_sPIT_Satiety,5,11,Click,Sucrose,3.75,6.25,3.375,9.625
skr214_sPIT_Satiety,5,11,Noise,Pellet,2.75,5.75,2.5,8.25
skr214_sPIT_Satiety,5,11,Tone,Maltodextrin,3.75,5.875,3.125,9
skr214_sPIT_Satiety,5,12,Click,Maltodextrin,3.75,7,2.75,9.75
skr214_sPIT_Satiety,5,12,Noise,Pellet,1.75,8,4.375,12.375
skr214_sPIT_Satiety,5,12,Tone,Sucrose,4.75,9.375,2.625,12
skr214_sPIT_Satiety,5,13,Click,Sucrose,3.5,6.125,4.375,10.5
skr214_sPIT_Satiety,5,13,Noise,Maltodextrin,3.75,11.125,4.625,15.75
skr214_sPIT_Satiety,5,13,Tone,Pellet,3.5,7.625,3.625,11.25
skr214_sPIT_Satiety,5,14,Click,Pellet,2.5,7.25,1.375,8.625
skr214_sPIT_Satiety,5,14,Noise,Maltodextrin,2.5,8.5,2.875,11.375
skr214_sPIT_Satiety,5,14,Tone,Sucrose,4,6.875,2.375,9.25
skr214_sPIT_Satiety,5,15,Click,Pellet,5,8.875,3.5,12.375
skr214_sPIT_Satiety,5,15,Noise,Sucrose,4.75,8.375,6.5,14.875
skr214_sPIT_Satiety,5,15,Tone,Maltodextrin,4.5,4.25,5.375,9.625
skr214_sPIT_Satiety,5,16,Click,Sucrose,3.5,9.75,4,13.75
skr214_sPIT_Satiety,5,16,Noise,Maltodextrin,4,11.25,3.375,14.625
skr214_sPIT_Satiety,5,16,Tone,Pellet,4.75,11.125,4,15.125
skr214_sPIT_Satiety,6,1,Click,Maltodextrin,5.25,7.25,5.25,12.5
skr214_sPIT_Satiety,6,1,Noise,Sucrose,4.75,12.375,6.25,18.625
skr214_sPIT_Satiety,6,1,Tone,Pellet,2.25,10.25,3.625,13.875
skr214_sPIT_Satiety,6,2,Click,Pellet,3.5,9.375,4.875,14.25
skr214_sPIT_Satiety,6,2,Noise,Sucrose,3,16.125,3.375,19.5
skr214_sPIT_Satiety,6,2,Tone,Maltodextrin,5,8.875,4.25,13.125
skr214_sPIT_Satiety,6,3,Click,Sucrose,3.5,9.75,2,11.75
skr214_sPIT_Satiety,6,3,Noise,Pellet,4.5,16.625,4.375,21
skr214_sPIT_Satiety,6,3,Tone,Maltodextrin,2.75,-1,7,6
skr214_sPIT_Satiety,6,4,Click,Maltodextrin,5.25,2.25,7.875,10.125
skr214_sPIT_Satiety,6,4,Noise,Pellet,3.75,21.125,7.375,28.5
skr214_sPIT_Satiety,6,4,Tone,Sucrose,4.5,10.125,7.25,17.375
skr214_sPIT_Satiety,6,5,Click,Sucrose,3,6.625,3.125,9.75
skr214_sPIT_Satiety,6,5,Noise,Maltodextrin,4,14.625,4.625,19.25
skr214_sPIT_Satiety,6,5,Tone,Pellet,2.5,9.375,5.75,15.125
skr214_sPIT_Satiety,6,6,Click,Pellet,3.75,2.25,8,10.25
skr214_sPIT_Satiety,6,6,Noise,Maltodextrin,3,16.625,3.625,20.25
skr214_sPIT_Satiety,6,6,Tone,Sucrose,2.75,3,7.625,10.625
skr214_sPIT_Satiety,6,7,Click,Maltodextrin,4.5,8.125,4,12.125
skr214_sPIT_Satiety,6,7,Noise,Sucrose,4.75,9.5,5.375,14.875
