Experiment,Schedule,Day,Subject,RewardName,LeverName,LP,Rewards,SessionLength,LP_rate_min,MagEntry,MagEntry_rate_min
skr214_sPIT_Satiety,RR10,5,12,Maltodextrin,Left,179,20,458.99,23.399202597006468,45,5.882481099806096
skr214_sPIT_Satiety,RR10,5,13,Maltodextrin,Left,215,20,633.99,20.347324090285337,68,6.435432735532106
skr214_sPIT_Satiety,RR10,5,14,Maltodextrin,Left,219,20,901.99,14.567788999878047,53,3.5255379771394364
skr214_sPIT_Satiety,RR10,5,15,Maltodextrin,Left,225,20,617.99,21.84501367336041,75,7.28167122445347
skr214_sPIT_Satiety,RR10,5,16,Maltodextrin,Left,219,20,449.99,29.20064890330896,69,9.200204448987755
skr214_sPIT_Satiety,RR10,6,1,Maltodextrin,right,205,20,620.99,19.807082239649592,67,6.473534195397671
skr214_sPIT_Satiety,RR10,6,2,Maltodextrin,right,194,20,335.99,34.64388821095866,38,6.785916247507366
skr214_sPIT_Satiety,RR10,6,3,Maltodextrin,right,143,20,542.99,15.801395974143169,50,5.524963627322787
skr214_sPIT_Satiety,RR10,6,4,Maltodextrin,right,286,20,664.99,25.804899321794313,85,7.6692882599738335
skr214_sPIT_Satiety,RR10,6,5,Maltodextrin,right,145,20,289.99,30.001034518431666,37,7.655436394358426
skr214_sPIT_Satiety,RR10,6,6,Maltodextrin,right,209,21,320.99,39.06663758995607,27,5.046886195831646
skr214_sPIT_Satiety,RR10,6,7,Maltodextrin,right,214,20,536.99,23.91105979627181,58,6.480567608335351
skr214_sPIT_Satiety,RR10,6,8,Maltodextrin,right,231,20,394.99,35.089495936605985,55,8.354641889668093
skr214_sPIT_Satiety,RR10,6,9,Maltodextrin,Left,255,20,371.99,41.13013790693298,45,7.258259630635232
skr214_sPIT_Satiety,RR10,6,10,Maltodextrin,Left,200,20,271.99,44.11926909077539,38,8.382661127247326
skr214_sPIT_Satiety,RR10,6,11,Maltodextrin,Left,209,20,383.99,32.6571004453241,43,6.718924972004479
skr214_sPIT_Satiety,RR10,6,12,Maltodextrin,Left,170,20,354.99,28.73320375221837,34,5.7466407504436745
skr214_sPIT_Satiety,RR10,6,13,Maltodextrin,Left,216,20,531.99,24.361360175943155,66,7.4437489426492975
skr214_sPIT_Satiety,RR10,6,14,Maltodextrin,Left,261,20,486.99,32.15671779708002,33,4.0657919053779334
skr214_sPIT_Satiety,RR10,6,15,Maltodextrin,Left,158,20,464.99,20.387535215811095,50,6.45175165057313
skr214_sPIT_Satiety,RR10,6,16,Maltodextrin,Left,218,20,322.99,40.49660980216105,60,11.145855908851667
skr214_sPIT_Satiety,RR10,7,1,Maltodextrin,right,165,20,548.99,18.03311535729248,55,6.011038452430828
skr214_sPIT_Satiety,RR10,7,2,Maltodextrin,right,213,20,822.99,15.528742755076003,73,5.322057376152809
skr214_sPIT_Satiety,RR10,7,3,Maltodextrin,right,223,20,772.99,17.30940891861473,82,6.3648947593112455
skr214_sPIT_Satiety,RR10,7,4,Maltodextrin,right,185,20,663.99,16.7171192337234,52,4.698865946776307
skr214_sPIT_Satiety,RR10,7,5,Maltodextrin,right,163,20,293.99,33.26643763393312,46,9.388074424300147
